production_number | air_date                    | title
CP-100            | 1989-03-11                  | Broward County, FL #1 (1 Hour Pilot)
CP-101            | 1989-03-18                  | Broward County, FL #2
CP-102            | 1989-03-25                  | Broward County, FL #3
CP-103            | 1989-04-01                  | Broward County, FL #4
CP-104            | 1989-04-08                  | Broward County, FL #5
CP-105            | 1989-04-15                  | Broward County, FL #6
CP-106            | 1989-04-22                  | Broward County, FL #7
CP-107            | 1989-04-29                  | Broward County, FL #8
CP-108            | 1989-05-06                  | Broward County, FL #9
CP-109            | 1989-05-13                  | Broward County, FL #10
CP-110            | 1989-05-20                  | Broward County, FL #11
CP-111            | 1989-05-27                  | Broward County, FL #12
CP-112            | 1989-06-03                  | Broward County, FL #13
CP-113            | 1989-06-10                  | Broward County, FL #14
CP-114            | 1989-06-17                  | Russia 1 Hour Special

CP-201            | 1989-09-23                  | Portland, OR #1
CP-202            | 1989-09-30                  | Portland, OR 2
CP-203            | 1989-10-07                  | Portland, OR 3
CP-204            | 1989-10-14                  | Portland, OR 4
CP-205            | 1989-10-21                  | Portland, OR 5
CP-206            | 1989-10-28                  | Portland, OR 6
CP-207            | 1989-11-04                  | Portland, OR 7
CP-208            | 1989-11-11                  | Portland, OR 8
CP-209            | 1989-11-18                  | Portland, OR 9
CP-210            | 1989-11-25                  | Portland, OR 10
CP-211            | 1989-12-02                  | Portland, OR 11
CP-212            | 1989-12-09                  | Portland, OR 12
CP-213            | 1989-12-16                  | Portland, OR 13
CP-214            | 1989-12-23                  | San Diego, CA 1
CP-215            | 1990-01-06                  | San Diego, CA 2
CP-216            | 1990-01-13                  | San Diego, CA 3
CP-217            | 1990-01-20                  | San Diego, CA 4
CP-218            | 1990-01-27                  | San Diego, CA 5
CP-219            | 1990-02-03                  | Los Angeles, CA 1
CP-220            | 1990-02-10                  | Los Angeles, CA 2
CP-221            | 1990-02-17                  | Los Angeles, CA 3
CP-222            | 1990-02-24                  | Los Angeles, CA 4
CP-223            | 1990-03-03                  | Los Angeles, CA 5
CP-224            | 1990-03-10                  | Los Angeles, CA 6
CP-225            | 1990-03-17                  | Los Angeles, CA 7
CP-226            | 1990-03-24                  | Los Angeles, CA 8
CP-227            | 1990-04-07                  | Los Angeles, CA 9
CP-228            | 1990-04-14                  | Los Angeles, CA 10
CP-229            | 1990-04-21                  | Los Angeles, CA 11
CP-230            | 1990-04-28                  | Los Angeles CA 12
CP-231            | 1990-05-05                  | Mardi Gras 1990 Hour Special
CP-301            | 1990-09-15                  | Minneapolis, MN 1
CP-302            | 1990-09-22                  | Minneapolis, MN 2 -- Rookies
CP-303            | 1990-09-29                  | Minneapolis, MN 3 -- Women Cops
CP-304            | 1990-10-06                  | Minneapolis, MN 4 -- On the Home Front
CP-305            | 1990-10-13                  | Minneapolis, MN 5
CP-306            | 1990-10-20                  | Minneapolis, MN 6
CP-307            | 1990-10-27                  | Alaska 1
CP-308            | 1990-11-03                  | Alaska 2
CP-309            | 1990-11-10                  | Alaska 3
CP-310            | 1990-11-10                  | Alaska 4
CP-311            | 1990-11-17                  | Las Vegas Special Edition 1 Hour 
CP-312            | 1990-12-01                  | Las Vegas, NV 2
CP-313            | 1990-12-08                  | Las Vegas, NV 3
CP-314            | 1990-12-15                  | Las Vegas, NV 4
CP-315            | 1990-12-22                  | Las Vegas, NV 5
CP-316            | 1991-01-12                  | Las Vegas, NV 6
CP-317            | 1991-01-26                  | New Jersey 1
CP-318            | 1991-01-19                  | Las Vegas, NV 7
CP-319            | 1991-02-02                  | New Jersey 2
CP-320            | 1991-02-09                  | New Jersey 3
CP-321            | 1991-02-16                  | New Jersey 4
CP-322            | 1991-02-23                  | New Jersey 5
CP-323            | 1991-03-02                  | Pittsburgh, PA 1
CP-324            | 1991-03-09                  | Pittsburgh, PA 2
CP-325            | 1991-03-16                  | Tampa, FL 1
CP-326            | 1991-04-06                  | Tampa, FL 2
CP-327            | 1991-04-13                  | Tucson, AZ 1
CP-328            | 1991-04-20                  | Tucson, AZ 2
CP-329            | 1991-04-27                  | Riverside County CA 1
CP-330            | 1991-05-04                  | Riverside County CA 2
CP-331            | 1991-05-11                  | Houston, TX 1
CP-332            | 1991-05-18                  | Houston, TX 2
CP-333            | 1991-05-25                  | Houston, TX 3
CP-334            | 1991-06-01                  | Houston, TX 4
CP-335            | 1991-06-08                  | Houston, TX 5
CP-336            | 1991-06-15                  | Houston, TX 6
CP-337            | 1991-08-31                  | Houston, TX 7
CP-338            | 1991-08-09                  | Houston, TX 8
CP-339            | 1991-06-22                  | London 1 Hour Special
CP-340            | 1991-08-16                  | Las Vegas, NV 8
BOC-001           | 1991-06-29                  | Best of Cops Volume 1
BOC-002           | 1991-07-06                  | Best of Cops Volume 2

CP-401            | 1991-08-10                  | Kansas City 1
CP-402            | 1991-08-17                  | Kansas City 2
CP-403            | 1991-08-24                  | Kansas City 3
CP-404            | 1991-12-07                  | Kansas City 4
CP-405            | 1991-09-13                  | Kansas City 5
CP-406            | 1991-10-19                  | Kansas City 6
CP-407            | 1991-10-12                  | Kansas City 7
