episode,air_date_tvmaze,air_date_thetvdb,air_date_wiki,air_date_thrawn,production_number,title_thrawn,title_tvmaze,title_thetvdb,title_wiki
S01E01,1989-03-11,1989-03-11,1989-03-11,1989-03-11,CP-100,"Broward County, FL #1 (1 Hour Pilot)","Broward County, FL #1 (60 min)","Broward County, FL 1","Broward County, Florida 1"
S01E02,1989-03-18,1989-03-18,1989-03-18,1989-03-18,CP-101,"Broward County, FL #2","Broward County, FL #2","Broward County, FL 2","Broward County, Florida 2"
S01E03,1989-03-25,1989-03-25,1989-03-25,1989-03-25,CP-102,"Broward County, FL #3","Broward County, FL #3","Broward County, FL 3","Broward County, Florida 3"
S01E04,1989-04-01,1989-04-01,1989-04-01,1989-04-01,CP-103,"Broward County, FL #4","Broward County, FL #4","Broward County, FL 4","Broward County, Florida 4"
S01E05,1989-04-08,1989-04-08,1989-04-08,1989-04-08,CP-104,"Broward County, FL #5","Broward County, FL #5","Broward County, FL 5","Broward County, Florida 5"
S01E06,1989-04-15,1989-04-15,1989-04-15,1989-04-15,CP-105,"Broward County, FL #6","Broward County, FL #6","Broward County, FL 6","Broward County, Florida 6"
S01E07,1989-04-22,1989-04-22,1989-04-22,1989-04-22,CP-106,"Broward County, FL #7","Broward County, FL #7","Broward County, FL 7","Broward County, Florida 7"
S01E08,1989-04-29,1989-04-29,1989-04-29,1989-04-29,CP-107,"Broward County, FL #8","Broward County, FL #8","Broward County, FL 8","Broward County, Florida 8"
S01E09,1989-05-06,1989-05-06,1989-05-06,1989-05-06,CP-108,"Broward County, FL #9","Broward County, FL #9","Broward County, FL 9","Broward County, Florida 9"
S01E10,1989-05-13,1989-05-13,1989-05-13,1989-05-13,CP-109,"Broward County, FL #10","Broward County, FL #10","Broward County, FL 10","Broward County, Florida 10"
S01E11,1989-05-20,1989-05-20,1989-05-20,1989-05-20,CP-110,"Broward County, FL #11","Broward County, FL #11","Broward County, FL 11","Broward County, Florida 11"
S01E12,1989-05-27,1989-05-27,1989-05-27,1989-05-27,CP-111,"Broward County, FL #12","Broward County, FL #12","Broward County, FL 12","Broward County, Florida 12"
S01E13,1989-06-03,1989-06-03,1989-06-03,1989-06-03,CP-112,"Broward County, FL #13","Broward County, FL #13","Broward County, FL 13","Broward County, Florida 13"
S01E14,1989-06-10,1989-06-10,1989-06-10,1989-06-10,CP-113,"Broward County, FL #14","Broward County, FL #14","Broward County, FL 14","Broward County, Florida 14"
